TITLE,DATE,TECHNIQUE,LOCATION,URL,TYPE
The Death of the Virgin,1602-06,"Oil on canvas, 369 x 245 cm","Musée du Louvre, Paris",https://www.wga.hu/html/c/caravagg/07/45death.html,religious
Ecce Homo,c. 1606,"Oil on canvas, 128 x 103 cm","Galleria di Palazzo Bianco, Genoa",https://www.wga.hu/html/c/caravagg/08/46ecceho.html,religious
Madonna dei Palafrenieri,1606,"Oil on canvas, 292 x 211 cm","Galleria Borghese, Rome",https://www.wga.hu/html/c/caravagg/08/48palaf.html,religious
St Francis in Meditation,c. 1606,"Oil on canvas, 128 x 97 cm","Galleria Nazionale d'Arte Antica, Rome",https://www.wga.hu/html/c/caravagg/08/49franci.html,religious
David with the Head of Goliath,1606-07,"Oil on wood, 91 x 116 cm","Kunsthistorisches Museum, Vienna",https://www.wga.hu/html/c/caravagg/08/52david.html,religious
The Seven Acts of Mercy,c. 1607,"Oil on canvas, 390 x 260 cm","Pio Monte della Misericordia, Naples",https://www.wga.hu/html/c/caravagg/09/53mercy.html,religious
The Crucifixion of St Andrew,c. 1607,"Oil on canvas, 203 x 153 cm","Museum of Art, Cleveland",https://www.wga.hu/html/c/caravagg/09/54andrew.html,religious
Flagellation,c. 1607,"Oil on canvas, 286 x 213 cm","Museo Nazionale di Capodimonte, Naples",https://www.wga.hu/html/c/caravagg/09/55flagel.html,religious
Christ at the Column,c. 1607,"Oil on canvas, 135 x 175 cm","Musée des Beaux-Arts, Rouen",https://www.wga.hu/html/c/caravagg/09/56christ.html,religious
Salome with the Head of St John the Baptist,1609-10,"Oil on canvas, 91 x 167 cm","National Gallery, London",https://www.wga.hu/html/c/caravagg/09/57salome.html,religious
Madonna del Rosario,c. 1607,"Oil on canvas, 365 x 250 cm","Kunsthistorisches Museum, Vienna",https://www.wga.hu/html/c/caravagg/09/58rosar.html,religious
Portrait of Alof de Wignacourt with His Page,c. 1608,"Oil on canvas, 194 x 134 cm","Musée du Louvre, Paris",https://www.wga.hu/html/c/caravagg/10/60alof.html,portrait
Portrait of a Maltese Knight,1608,"Oil on canvas, 119 x 96 cm","Galleria Palatina (Palazzo Pitti), Florence",https://www.wga.hu/html/c/caravagg/10/61alof.html,portrait
Beheading of Saint John the Baptist,1608,"Oil on canvas, 361 x 520 cm","Saint John's Co-Cathedral, La Valletta",https://www.wga.hu/html/c/caravagg/10/62behead.html,religious
Sleeping Cupid,1608,"Oil on canvas, 75 x 105 cm","Galleria Palatina (Palazzo Pitti), Florence",https://www.wga.hu/html/c/caravagg/10/63sleepi.html,mythological
Burial of St Lucy,1608,"Oil on canvas, 408 x 300 cm","Bellomo Museum, Syracuse",https://www.wga.hu/html/c/caravagg/10/64lucy.html,religious
The Raising of Lazarus,1608-09,"Oil on canvas, 380 x 275 cm","Museo Regionale, Messina",https://www.wga.hu/html/c/caravagg/10/65lazar.html,religious
The Annunciation,1608-09,"Oil on canvas, 285 x 205 cm","Musée des Beaux-Arts, Nancy",https://www.wga.hu/html/c/caravagg/11/66annunc.html,religious
Adoration of the Shepherds,1609,"Oil on canvas, 314 x 211 cm","Museo Regionale, Messina",https://www.wga.hu/html/c/caravagg/11/67sheph.html,religious
Nativity with St Francis and St Lawrence,1609,"Oil on canvas, 268 x 197 cm","Formerly in Oratorio di San Lorenzo, Palermo",https://www.wga.hu/html/c/caravagg/11/68nativi.html,religious
Salome with the Head of the Baptist,c. 1609,"Oil on canvas, 116 x 140 cm","Palacio Real, Madrid",https://www.wga.hu/html/c/caravagg/11/69salome.html,religious
The Denial of St Peter,c. 1610,"Oil on canvas, 94 x 125 cm","Metropolitan Museum of Art, New York",https://www.wga.hu/html/c/caravagg/11/72denial.html,religious
The Martyrdom of St Ursula,1610,"Oil on canvas, 154 x 178 cm","Banca Commerciale Italiana, Naples",https://www.wga.hu/html/c/caravagg/11/73ursula.html,religious
The Toothpuller,1608-10,"Oil on canvas, 140 x 195 cm","Galleria Palatina (Palazzo Pitti), Florence",https://www.wga.hu/html/c/caravagg/12/77tooth.html,genre
St John the Baptist at the Well,1607-08,"Oil on canvas, 73 x 100 cm","Collezione Bonello, Malta",https://www.wga.hu/html/c/caravagg/12/79stjohn.html,religious
Sacrifice of Isaac,1597-99,"Oil on canvas, 116 x 173 cm",Private collection,https://www.wga.hu/html/c/caravagg/12/821isaac.html,religious
"Jupiter, Neptune and Pluto",1597-1600,"Ceiling painting in oil, 300 x 152 cm","Casino dell'Aurora, Villa Boncompagni Ludovisi, Rome",https://www.wga.hu/html/c/caravagg/12/84jupite.html,mythological
Still-Life with Flowers and Fruit,c. 1594,"Oil on canvas, 105 x 184 cm","Galleria Borghese, Rome",https://www.wga.hu/html/c/caravagg/12/89d_stil.html,still-life
The Holy Family with the Infant St John the Baptist,1602-04,"Oil on canvas, 118 x 96 cm","Metropolitan Museum of Art, New York",https://www.wga.hu/html/c/caravagg/12/90holyfa.html,religious
